0.003361,0.003413,0.003721,0.004311,0.004670,0.004696,0.005260,0.005671,0.006646,0.006800
0.006267,0.006362,0.006553,0.006569,0.007396,0.008255,0.009750,0.011785,0.019372,0.021392
0.007338,0.008287,0.008577,0.009277,0.009367,0.011317,0.012903,0.012937,0.014568,0.032320
0.007756,0.007801,0.009020,0.009223,0.009483,0.010683,0.011006,0.011635,0.012606,0.030074
0.007002,0.007187,0.008517,0.008554,0.009044,0.009132,0.009266,0.010795,0.016725,0.029478
0.006229,0.006976,0.007091,0.007369,0.007946,0.008331,0.016539,0.016801,0.016801,0.017817
0.005405,0.005586,0.005942,0.006307,0.006445,0.006598,0.010155,0.016074,0.017749,0.020385
0.009053,0.009332,0.009399,0.009837,0.010237,0.015421,0.016235,0.017459,0.017985,0.019461
0.009030,0.011428,0.011559,0.014719,0.014722,0.016783,0.017245,0.019672,0.026974,0.055130
0.006588,0.006783,0.006849,0.007002,0.008233,0.008632,0.008889,0.010219,0.011753,0.012029
